Date,EmployeeID,Org,Hours
1/3/2022,125689,16478920,4.9
1/3/2022,127843,16478920,3.2
1/3/2022,123491,16478920,3.3
1/3/2022,125729,16478920,6.9
1/3/2022,127841,16478920,2.4
1/3/2022,126234,16478920,2.8
1/3/2022,164945,16478920,5.4
1/3/2022,134875,16478920,5.3
1/3/2022,147853,16478920,2.1
1/3/2022,141023,16478920,6.5
1/3/2022,245984,16478920,6.4
1/3/2022,345789,16478920,7.9
1/3/2022,476254,16478920,3.6
1/3/2022,741354,16478920,5.2
1/3/2022,632148,16478920,7.9
1/3/2022,258741,16478920,7
1/3/2022,963258,16478920,2.5
1/3/2022,789654,16478920,7
1/3/2022,654123,16478920,6.5
1/3/2022,123654,16478920,3.7
1/3/2022,456987,16478920,2.7
1/3/2022,547812,16478920,3.4
1/3/2022,982147,16478920,5.7
1/3/2022,854187,16478920,6.4
1/3/2022,683192,16478920,5.9
1/3/2022,885962,16478920,3.5
1/3/2022,125689,0,0.1
1/3/2022,127843,0,0.9
1/3/2022,123491,0,1.1
1/3/2022,125729,0,1
1/3/2022,127841,0,0.2
1/3/2022,126234,0,1.9
1/3/2022,164945,0,1
1/3/2022,134875,0,1.1
1/3/2022,147853,0,1.6
1/3/2022,141023,0,0
1/3/2022,245984,0,0.9
1/3/2022,345789,0,2
1/3/2022,476254,0,0.5
1/3/2022,741354,0,0.9
1/3/2022,632148,0,1.5
1/3/2022,258741,0,0
1/3/2022,963258,0,1.4
1/3/2022,789654,0,1
1/3/2022,654123,0,1.7
1/3/2022,123654,0,2
1/3/2022,456987,0,0.2
1/3/2022,547812,0,1.5
1/3/2022,982147,0,0.1
1/3/2022,854187,0,0.2
1/3/2022,683192,0,1.3
1/3/2022,885962,0,0.7
1/3/2022,125689,51679990,3
1/3/2022,127843,51679990,3.9
1/3/2022,123491,51679990,3.6
1/3/2022,125729,51679990,0.1
1/3/2022,127841,51679990,5.4
1/3/2022,126234,51679990,3.3
1/3/2022,164945,51679990,1.6
1/3/2022,134875,51679990,1.6
1/3/2022,147853,51679990,4.3
1/3/2022,141023,51679990,1.5
1/3/2022,245984,51679990,0.7
1/3/2022,345789,51679990,1.9
1/3/2022,476254,51679990,3.9
1/3/2022,741354,51679990,1.9
1/3/2022,632148,51679990,1.4
1/3/2022,258741,51679990,1
1/3/2022,963258,51679990,4.1
1/3/2022,789654,51679990,0
1/3/2022,654123,51679990,0.2
1/3/2022,123654,51679990,2.3
1/3/2022,456987,51679990,5.1
1/3/2022,547812,51679990,3.1
1/3/2022,982147,51679990,2.2
1/3/2022,854187,51679990,1.4
1/3/2022,683192,51679990,0.8
1/3/2022,885962,51679990,3.8
1/4/2022,125689,16478920,2.1
1/4/2022,127843,16478920,5.3
1/4/2022,123491,16478920,6.2
1/4/2022,125729,16478920,4.5
1/4/2022,127841,16478920,2
1/4/2022,126234,16478920,6.8
1/4/2022,164945,16478920,3
1/4/2022,134875,16478920,6.2
1/4/2022,147853,16478920,6.7
1/4/2022,141023,16478920,2.6
1/4/2022,245984,16478920,5.8
1/4/2022,345789,16478920,3.2
1/4/2022,476254,16478920,2.8
1/4/2022,741354,16478920,2.5
1/4/2022,632148,16478920,2.4
1/4/2022,258741,16478920,5
1/4/2022,963258,16478920,4.8
1/4/2022,789654,16478920,2.5
1/4/2022,654123,16478920,3
1/4/2022,123654,16478920,6.8
1/4/2022,456987,16478920,3.1
1/4/2022,547812,16478920,2.1
1/4/2022,982147,16478920,5.6
1/4/2022,854187,16478920,5.3
1/4/2022,683192,16478920,5.5
1/4/2022,885962,16478920,2.7
1/4/2022,125689,0,2
1/4/2022,127843,0,1.1
1/4/2022,123491,0,1.1
1/4/2022,125729,0,0.7
1/4/2022,127841,0,0.6
1/4/2022,126234,0,0.8
1/4/2022,164945,0,0.9
1/4/2022,134875,0,0.7
1/4/2022,147853,0,0.3
1/4/2022,141023,0,0.5
